Measurement Title,Measurement Description,Measurement Type,Measurement Medium,Measurement Time,Measurement Value,Units,Units Abbreviation,Measurement Period Type,Data Stream ID,Resource ID,Measurement ID,Record ID,Latitude,Longitude,Location
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:09:48 PM,509,millivolts,mV,Instantaneous,33305,65515,2518776246119999999,333052518776246119999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:08:44 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776246759999999,333032518776246759999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:08:44 PM,437,millivolts,mV,Instantaneous,33305,65515,2518776246759999999,333052518776246759999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:07:41 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776247389999999,333032518776247389999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:07:41 PM,489,millivolts,mV,Instantaneous,33305,65515,2518776247389999999,333052518776247389999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:06:37 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776248029999999,333032518776248029999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:06:37 PM,421,millivolts,mV,Instantaneous,33305,65515,2518776248029999999,333052518776248029999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:05:34 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776248659999999,333032518776248659999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:05:34 PM,471,millivolts,mV,Instantaneous,33305,65515,2518776248659999999,333052518776248659999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:04:32 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776249279999999,333032518776249279999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:04:32 PM,443,millivolts,mV,Instantaneous,33305,65515,2518776249279999999,333052518776249279999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
